x,y,species cloglog values
1.0,1.0,0.031440377
2.0,2.0,0.015557578
3.0,3.0,0.045403384
4.0,4.0,0.23255567
5.0,5.0,0.0375823
6.0,6.0,0.16941877
7.0,7.0,0.03734745
8.0,8.0,0.71312815
9.0,9.0,0.011299737
10.0,10.0,0.00593943
11.0,11.0,0.470118
12.0,12.0,0.039980803
13.0,13.0,0.19679645
14.0,14.0,0.858401
15.0,15.0,0.03290166
16.0,16.0,0.14289176
17.0,17.0,0.1627414
18.0,18.0,0.69213027
19.0,19.0,0.11050158
20.0,20.0,0.032901984
21.0,21.0,0.038504723
22.0,22.0,0.09595692
23.0,23.0,0.62763816
24.0,24.0,0.3172732
25.0,25.0,0.57947356
26.0,26.0,0.054751262
27.0,27.0,0.03225465
28.0,28.0,0.5413719
29.0,29.0,0.63331145
30.0,30.0,0.20609204
31.0,31.0,0.41979545
32.0,32.0,0.02566432
33.0,33.0,0.1545055
34.0,34.0,0.08191014
35.0,35.0,0.03444769
36.0,36.0,0.28655377
37.0,37.0,0.34790674
38.0,38.0,0.636363
39.0,39.0,0.24303168
40.0,40.0,0.24909942
41.0,41.0,0.039198305
42.0,42.0,0.12733224
43.0,43.0,0.14440565
44.0,44.0,0.32162172
45.0,45.0,0.05237668
46.0,46.0,0.19462186
47.0,47.0,0.15442725
48.0,48.0,0.22347426
49.0,49.0,0.48432308
50.0,50.0,0.64003676
51.0,51.0,0.04237499
52.0,52.0,0.15886234
53.0,53.0,0.011065408
54.0,54.0,0.38673696
55.0,55.0,0.04596512
56.0,56.0,0.20406434
57.0,57.0,0.053955052
58.0,58.0,0.027861742
59.0,59.0,0.7664773
60.0,60.0,0.09287099
61.0,61.0,0.18644387
62.0,62.0,0.1318698
63.0,63.0,0.7073478
64.0,64.0,0.344166
65.0,65.0,0.022527328
66.0,66.0,0.81144303
67.0,67.0,0.013930595
68.0,68.0,0.47988832
69.0,69.0,0.5601693
70.0,70.0,0.033437923
71.0,71.0,0.5731889
72.0,72.0,0.19440855
73.0,73.0,0.37963265
74.0,74.0,0.04620547
75.0,75.0,0.020074997
76.0,76.0,0.15521155
77.0,77.0,0.017926313
78.0,78.0,0.5518408
79.0,79.0,0.7451509
80.0,80.0,0.27457842
81.0,81.0,0.548015
82.0,82.0,0.20088273
83.0,83.0,0.06436381
84.0,84.0,0.43009433
85.0,85.0,0.04063471
86.0,86.0,0.47110122
87.0,87.0,0.025194712
88.0,88.0,0.020903056
89.0,89.0,0.044536266
90.0,90.0,0.35317475
91.0,91.0,0.36134395
92.0,92.0,0.23491667
93.0,93.0,0.13200758
94.0,94.0,0.256644
95.0,95.0,0.39264753
96.0,96.0,0.21921739
97.0,97.0,0.17209402
98.0,98.0,0.46154973
99.0,99.0,0.027603108
100.0,100.0,0.07368265
101.0,101.0,0.49686417
102.0,102.0,0.060333688
103.0,103.0,0.7874079
104.0,104.0,0.196433
105.0,105.0,0.31536308
106.0,106.0,0.24943587
107.0,107.0,0.12367451
108.0,108.0,0.03109251
109.0,109.0,0.80534816
110.0,110.0,0.23026071
111.0,111.0,0.70500433
112.0,112.0,0.018206442
113.0,113.0,0.04763268
114.0,114.0,0.05784642
115.0,115.0,0.40709415
116.0,116.0,0.666279
117.0,117.0,0.013018716
118.0,118.0,0.14639474
119.0,119.0,0.5513158
120.0,120.0,0.5124752
121.0,121.0,0.2893697
122.0,122.0,0.1432627
123.0,123.0,0.5368903
124.0,124.0,0.023229757
125.0,125.0,0.5243589
126.0,126.0,0.14899398
127.0,127.0,0.0028447462
128.0,128.0,0.056482982
129.0,129.0,0.673493
130.0,130.0,0.19627044
131.0,131.0,0.47644478
132.0,132.0,0.14548945
133.0,133.0,0.7232294
134.0,134.0,0.12569094
135.0,135.0,0.6540884
136.0,136.0,0.28105518
137.0,137.0,0.038265157
138.0,138.0,0.06353856
139.0,139.0,0.022657199
140.0,140.0,0.028490068
141.0,141.0,0.10732304
142.0,142.0,0.26246178
143.0,143.0,0.008571684
144.0,144.0,0.69784015
145.0,145.0,0.22998078
146.0,146.0,0.44596636
147.0,147.0,0.22014384
148.0,148.0,0.6356975
149.0,149.0,0.46755278
150.0,150.0,0.093304336
151.0,151.0,0.0050752116
152.0,152.0,0.26967722
153.0,153.0,0.119668774
154.0,154.0,0.05535268
155.0,155.0,0.37667003
156.0,156.0,0.100388244
157.0,157.0,0.5525557
158.0,158.0,0.06835408
159.0,159.0,0.17541447
160.0,160.0,0.7801521
161.0,161.0,0.054758556
162.0,162.0,0.64560425
163.0,163.0,0.082239605
164.0,164.0,0.4668588
165.0,165.0,0.5256695
166.0,166.0,0.7165295
167.0,167.0,0.12812817
168.0,168.0,0.53372735
169.0,169.0,0.17182258
170.0,170.0,0.02020838
171.0,171.0,0.035910994
172.0,172.0,0.14323394
173.0,173.0,0.014334498
174.0,174.0,0.59120435
175.0,175.0,0.041912805
176.0,176.0,0.21855134
177.0,177.0,0.13477947
178.0,178.0,0.014439329
179.0,179.0,0.044437658
180.0,180.0,0.6548316
181.0,181.0,0.3897127
182.0,182.0,0.063562214
183.0,183.0,0.17916015
184.0,184.0,0.03427381
185.0,185.0,0.04207165
186.0,186.0,0.13863945
187.0,187.0,0.32194927
188.0,188.0,0.04163104
189.0,189.0,0.013215747
190.0,190.0,0.120147355
191.0,191.0,0.48400342
192.0,192.0,0.7075965
193.0,193.0,0.19229563
194.0,194.0,0.03988238
195.0,195.0,0.76764977
196.0,196.0,0.20185646
197.0,197.0,0.29842106
198.0,198.0,0.78495353
199.0,199.0,0.027520513
200.0,200.0,0.16162318
201.0,201.0,0.28483826
202.0,202.0,0.023610217
203.0,203.0,0.23838586
204.0,204.0,0.010447637
205.0,205.0,0.28447956
206.0,206.0,0.35602033
207.0,207.0,0.8302068
208.0,208.0,0.0070300405
209.0,209.0,0.46085608
210.0,210.0,0.30875555
211.0,211.0,0.13831064
212.0,212.0,0.061507296
213.0,213.0,0.032942377
214.0,214.0,0.4547921
215.0,215.0,0.773
216.0,216.0,0.24735396
217.0,217.0,0.18080264
218.0,218.0,0.14635676
219.0,219.0,0.67129874
220.0,220.0,0.03383406
221.0,221.0,0.11269276
222.0,222.0,0.051380675
223.0,223.0,0.014592685
224.0,224.0,0.68143624
225.0,225.0,0.1220445
226.0,226.0,0.03690149
227.0,227.0,0.0669672
228.0,228.0,0.13594025
229.0,229.0,0.51865935
230.0,230.0,0.44522843
231.0,231.0,0.12504067
232.0,232.0,0.07490486
233.0,233.0,0.015674781
234.0,234.0,0.13420142
235.0,235.0,0.19085304
236.0,236.0,0.019011283
237.0,237.0,0.3790638
238.0,238.0,0.016809348
239.0,239.0,0.09283336
240.0,240.0,0.04211499
241.0,241.0,0.7102247
242.0,242.0,0.3030021
243.0,243.0,0.5041931
244.0,244.0,0.4001235
245.0,245.0,0.03134027
246.0,246.0,0.1298951
247.0,247.0,0.029391006
248.0,248.0,0.04190055
249.0,249.0,0.6422708
250.0,250.0,0.08861001
251.0,251.0,0.03450666
252.0,252.0,0.4920036
253.0,253.0,0.34521177
254.0,254.0,0.35578576
255.0,255.0,0.009682155
256.0,256.0,0.34237316
257.0,257.0,0.07668647
258.0,258.0,0.42923847
259.0,259.0,0.072178446
260.0,260.0,0.3917526
261.0,261.0,0.027685164
262.0,262.0,0.43952942
263.0,263.0,0.8101633
264.0,264.0,0.01658612
265.0,265.0,0.1586422
266.0,266.0,0.0829256
267.0,267.0,0.5311383
268.0,268.0,0.030178223
269.0,269.0,0.07730642
270.0,270.0,0.043097798
271.0,271.0,0.022688
272.0,272.0,0.22627188
273.0,273.0,0.025636654
274.0,274.0,0.026328959
275.0,275.0,0.25228125
276.0,276.0,0.049476475
277.0,277.0,0.03554411
278.0,278.0,0.026936864
279.0,279.0,0.051111583
280.0,280.0,0.051598422
281.0,281.0,0.07422178
282.0,282.0,0.020543974
283.0,283.0,0.02140676
284.0,284.0,0.58568954
285.0,285.0,0.10532931
286.0,286.0,0.36740774
287.0,287.0,0.0056651104
288.0,288.0,0.052587975
289.0,289.0,0.46311906
290.0,290.0,0.023751868
291.0,291.0,0.28779837
292.0,292.0,0.36066896
293.0,293.0,0.052383747
294.0,294.0,0.111515336
295.0,295.0,0.013976642
296.0,296.0,0.031043097
297.0,297.0,0.029952617
298.0,298.0,0.05163962
299.0,299.0,0.499833
300.0,300.0,0.04534703
301.0,301.0,0.042510092
302.0,302.0,0.22192848
303.0,303.0,0.04385863
304.0,304.0,0.3777668
305.0,305.0,0.018218054
306.0,306.0,0.06685505
307.0,307.0,0.026604021
308.0,308.0,0.19681518
309.0,309.0,0.053838123
310.0,310.0,0.15991014
311.0,311.0,0.05319691
312.0,312.0,0.686092
313.0,313.0,0.03318192
314.0,314.0,0.12817445
315.0,315.0,0.17629556
316.0,316.0,0.050113138
317.0,317.0,0.025935534
318.0,318.0,0.042022463
319.0,319.0,0.09241273
320.0,320.0,0.4666838
321.0,321.0,0.63879323
322.0,322.0,0.05732902
323.0,323.0,0.6223046
324.0,324.0,0.42080423
325.0,325.0,0.4861924
326.0,326.0,0.5828216
327.0,327.0,0.628096
328.0,328.0,0.27811927
329.0,329.0,0.18234114
330.0,330.0,0.10593674
331.0,331.0,0.6928679
332.0,332.0,0.022289883
333.0,333.0,0.04431064
334.0,334.0,0.45003736
335.0,335.0,0.06924752
336.0,336.0,0.5429459
337.0,337.0,0.03749377
338.0,338.0,0.02611038
339.0,339.0,0.70271933
340.0,340.0,0.011989877
