Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.89142E-7,0.000018914,0.001350366,1,0,0
2.58009E-7,0.000044715,0.001841584,0.999908667,0,0
3.00053E-7,0.00007472,0.002141365,0.999817335,0,0
3.13583E-7,0.000106079,0.002237812,0.999726002,0,0
3.53767E-7,0.000274964,0.002524219,0.99926934,0,0
3.98753E-7,0.000501337,0.002844747,0.998721344,0,0
4.86439E-7,0.001046045,0.003469217,0.997625354,0,0
6.5034E-7,0.002558428,0.004635425,0.995159375,0,0
9.03097E-7,0.005010591,0.006431201,0.992328066,0,0
1.15071E-6,0.010077342,0.008187277,0.987852772,0,0
1.65749E-6,0.025028642,0.011771746,0.97808019,0,0
2.26034E-6,0.05015243,0.016018796,0.966480957,0.00024919,0
2.95961E-6,0.100138055,0.020922287,0.949036442,0.00074757,0
3.96222E-6,0.200220379,0.027910244,0.922824002,0.001744331,0
4.57655E-6,0.300257638,0.032167345,0.90154352,0.001744331,0
5.11382E-6,0.400194789,0.0358752,0.882637684,0.002741091,0
5.56101E-6,0.500074406,0.038950494,0.865558498,0.003987042,0
5.98976E-6,0.600555311,0.041889806,0.849666636,0.004734613,0
6.4307E-6,0.700265724,0.044903272,0.834962097,0.005980563,0
6.75956E-6,0.750316811,0.047144573,0.828020824,0.006229753,0
7.05285E-6,0.800221871,0.049139064,0.821444881,0.006229753,0
7.64992E-6,0.900724617,0.053186481,0.808932323,0.006728134,0
8.25065E-6,1.000758565,0.057241273,0.797424422,0.007475704,0
8.89054E-6,1.100231089,0.06154127,0.786829847,0.008223274,0
9.513E-6,1.200548102,0.065705334,0.7768746,0.008970845,0
1.06456E-5,1.300957284,0.073234765,0.767741346,0.010216795,0
1.21325E-5,1.400646108,0.08302726,0.759704083,0.010216795,0
1.3556E-5,1.501204558,0.092305784,0.752580144,0.010964366,0
1.74951E-5,1.750436687,0.117493865,0.737875605,0.014951408,0
1.93283E-5,2.001438203,0.128976701,0.725454379,0.01794169,0
2.08528E-5,2.251413138,0.138412249,0.714129144,0.020184401,0
2.22003E-5,2.500305241,0.146666286,0.703534569,0.021928732,0
2.33489E-5,2.751370719,0.153640048,0.69348799,0.023174682,0
2.41572E-5,3.000521756,0.158513891,0.683898073,0.028407675,0
2.52151E-5,3.2524038,0.16484938,0.674582154,0.032893097,0
2.65953E-5,3.501055399,0.173044143,0.66581423,0.03688014,0
2.79307E-5,3.752118869,0.180896456,0.657411636,0.039621231,0
2.92644E-5,4.001684733,0.188663686,0.649465705,0.041863942,0
3.05481E-5,4.250702118,0.196070786,0.641885104,0.043857463,0
3.16543E-5,4.502588866,0.20239904,0.634487168,0.044605034,0
3.29145E-5,4.750361217,0.209547995,0.627454562,0.046847745,0
3.42201E-5,5.001559672,0.216886318,0.620604621,0.049838026,0
3.55969E-5,5.252496449,0.224551418,0.614028678,0.052828308,0
3.69505E-5,5.503292365,0.232014212,0.607726733,0.054074259,0
3.84533E-5,5.752212107,0.240215525,0.601698785,0.054074259,0
4.02199E-5,6.000346671,0.249744758,0.595944835,0.055071019,0
4.18795E-5,6.251494994,0.258587718,0.59037355,0.05681535,0
4.33519E-5,6.503807368,0.266346091,0.58498493,0.058559681,0
4.45115E-5,6.754029089,0.272398625,0.579778975,0.060553202,0
4.59698E-5,7.003051926,0.279939864,0.574755685,0.063294294,0
4.71356E-5,7.254517394,0.285912369,0.569823728,0.064789434,0
4.86393E-5,7.503374147,0.293542719,0.565074436,0.066035385,0
4.99336E-5,7.75449513,0.300044961,0.560416476,0.067779716,0
5.13215E-5,8.002531799,0.306950999,0.555941182,0.069274857,0
5.2897E-5,8.25288849,0.314708015,0.55155722,0.072015948,0
5.4438E-5,8.504858151,0.322211314,0.54726459,0.074507849,0
5.5992E-5,8.753947065,0.329694459,0.543154626,0.07600299,0
5.74694E-5,9.003181363,0.336732704,0.539135994,0.077747321,0
5.93757E-5,9.254401899,0.345704593,0.535208695,0.079740842,0
6.09947E-5,9.501228433,0.35322865,0.531464061,0.082731124,0
6.26142E-5,9.754492361,0.36066881,0.527719426,0.085223025,0
6.38928E-5,10.001089429,0.366482367,0.524157457,0.088213307,0
6.54483E-5,10.253062981,0.373483576,0.520595488,0.090206828,0
6.65561E-5,10.503687149,0.378422394,0.517124852,0.091701969,0
6.75374E-5,10.751817345,0.382764969,0.513745548,0.09469225,0
6.87395E-5,11.003704866,0.38804298,0.510366243,0.097184152,0
6.95825E-5,11.25300602,0.391717695,0.507078272,0.100174433,0
7.06171E-5,11.505566719,0.396197106,0.5037903,0.101669574,0
7.17693E-5,11.75486492,0.401146998,0.500593662,0.104659855,0
7.31517E-5,12.001157563,0.40703239,0.497488355,0.107151757,0
7.43831E-5,12.251863199,0.41222616,0.494383049,0.108896088,0
7.5227E-5,12.506419225,0.415759067,0.491277742,0.111637179,0
7.63685E-5,12.756662017,0.42050456,0.488263768,0.11387989,0
7.73687E-5,13.002812733,0.424630446,0.485341127,0.117119362,0
7.83817E-5,13.252130383,0.428779542,0.482418486,0.118863693,0
7.92199E-5,13.504545409,0.432190126,0.479495844,0.121853975,0
8.0048E-5,13.75134298,0.435539427,0.476664536,0.124595066,0
8.1183E-5,14.001422375,0.440097844,0.473833227,0.128083728,0
8.22343E-5,14.254943146,0.44428751,0.471001918,0.129828059,0
8.30669E-5,14.502897597,0.447583167,0.468261942,0.13157239,0
8.39275E-5,14.753260633,0.450969077,0.465521965,0.133815101,0
8.49035E-5,15.00653673,0.454784267,0.462781989,0.136057812,0
8.57301E-5,15.25388161,0.457994201,0.460133346,0.137552953,0
8.65741E-5,15.503883986,0.461252739,0.457484702,0.141041615,0
8.74532E-5,15.756319672,0.464625885,0.454836058,0.143533516,0
8.82056E-5,16.002482966,0.467495832,0.452278747,0.144530277,0
8.91565E-5,16.250698643,0.471101068,0.449721436,0.146523798,0
8.9908E-5,16.501333768,0.473933067,0.447164125,0.149264889,0
9.09266E-5,16.754571224,0.477747674,0.444606813,0.15100922,0
9.15497E-5,17.001102782,0.48006731,0.442140835,0.152753551,0
9.25832E-5,17.259055188,0.483891907,0.439583524,0.155245452,0
9.32115E-5,17.500543973,0.48620361,0.437208878,0.156740593,0
9.4137E-5,17.75338914,0.489589664,0.434742899,0.159980065,0
9.47193E-5,18.008451303,0.491708502,0.43227692,0.161973586,0
9.5439E-5,18.255693474,0.494315273,0.429902274,0.164216297,0
9.61465E-5,18.504900798,0.496864697,0.427527628,0.166708198,0
9.69408E-5,18.755889357,0.499711894,0.425152982,0.168701719,0
9.7706E-5,19.008841215,0.502439598,0.422778336,0.16994767,0
9.8552E-5,19.254077639,0.505437516,0.420495022,0.173436332,0
9.96707E-5,19.501800023,0.509374518,0.418211709,0.175679043,0
1.00511E-4,19.752125179,0.51231211,0.415928395,0.178669325,0
1.01427E-4,20.004432945,0.515490784,0.413645082,0.180662846,0
1.02195E-4,20.258811192,0.518143813,0.411361768,0.182157987,0
1.03059E-4,20.505366406,0.521108732,0.409169787,0.184400698,0
1.0386E-4,20.753572178,0.52383949,0.406977806,0.185646648,0
1.04458E-4,21.003494097,0.525870472,0.404785825,0.187390979,0
1.05246E-4,21.255051565,0.528531368,0.402593844,0.18863693,0
1.06328E-4,21.508702446,0.532164149,0.400401863,0.190132071,0
1.06823E-4,21.75379966,0.533813424,0.398301215,0.191876402,0
1.07367E-4,22.00012014,0.535622085,0.396200566,0.194119113,0
1.08227E-4,22.258897238,0.538466081,0.394008585,0.196112634,0
1.09079E-4,22.508701474,0.54126976,0.391907937,0.196611014,0
1.09677E-4,22.760316226,0.543223277,0.389807288,0.199352106,0
1.10266E-4,23.002301954,0.545142886,0.387797972,0.201096437,0
1.11086E-4,23.256949618,0.547799565,0.385697324,0.203837528,0
1.11672E-4,23.502067307,0.549688308,0.383688008,0.205831049,0
1.12332E-4,23.759681923,0.551805323,0.38158736,0.20807376,0
1.13038E-4,24.007467428,0.554062624,0.379578044,0.210316471,0
1.13669E-4,24.256908729,0.556067792,0.377568728,0.212060802,0
1.14411E-4,24.507825404,0.558413771,0.375559412,0.214303514,0
1.15175E-4,24.760201658,0.560818279,0.373550096,0.217044605,0
1.15793E-4,25.002811255,0.562753102,0.371632113,0.221031647,0
1.16331E-4,25.258042822,0.56442923,0.369622797,0.223772739,0
1.17124E-4,25.503225352,0.566890154,0.367704813,0.22651383,0
1.17871E-4,25.761767211,0.569196529,0.365695497,0.228258161,0
1.18481E-4,26.010059189,0.571069257,0.363777514,0.230750062,0
1.19139E-4,26.259688547,0.573081438,0.361859531,0.234238724,0
1.197E-4,26.510366808,0.574787978,0.359941547,0.236730625,0
1.20337E-4,26.750396193,0.576717969,0.358114896,0.239970097,0
1.20976E-4,27.003787503,0.578646217,0.356196913,0.242461999,0
1.21852E-4,27.258800096,0.581276388,0.35427893,0.24445552,0
1.22475E-4,27.503142892,0.583136673,0.352452279,0.247196611,0
1.23414E-4,27.761555882,0.58592334,0.350534295,0.249688512,0
1.23889E-4,28.008909452,0.587324702,0.348707645,0.251931224,0
1.2449E-4,28.257312853,0.589094443,0.346880994,0.255170695,0
1.251E-4,28.507100944,0.590879872,0.345054343,0.257662597,0
1.25913E-4,28.758283619,0.59325008,0.343227692,0.259905308,0
1.26656E-4,29.011113639,0.595403028,0.341401041,0.262397209,0
1.27228E-4,29.252201584,0.597051961,0.339665723,0.26463992,0
1.28092E-4,29.507409313,0.599533996,0.337839072,0.267630202,0
1.28791E-4,29.751349446,0.601529037,0.336103754,0.269623723,0
1.30107E-4,30.010447576,0.605256056,0.334277103,0.272115624,0
1.30779E-4,30.258356651,0.607147299,0.332541785,0.273859955,0
1.3173E-4,30.507960568,0.609807665,0.330806466,0.276102666,0
1.32367E-4,30.758971768,0.611577806,0.329071148,0.278594568,0
1.33248E-4,31.01144928,0.614017217,0.32733583,0.281335659,0
1.33939E-4,31.25191662,0.615916812,0.325691844,0.28357837,0
1.34625E-4,31.507060653,0.617795204,0.323956526,0.286817842,0
1.35275E-4,31.763496958,0.619566232,0.322221207,0.289558933,0
