x,y,species cloglog values
1.0,1.0,0.0019522087
2.0,2.0,0.11704718
3.0,3.0,0.0011762519
4.0,4.0,0.0017587421
5.0,5.0,0.08112152
6.0,6.0,0.006142082
7.0,7.0,0.70349437
8.0,8.0,0.054161437
9.0,9.0,0.46987113
10.0,10.0,0.002082773
11.0,11.0,0.69380647
12.0,12.0,0.10300709
13.0,13.0,0.0020178794
14.0,14.0,0.15258694
15.0,15.0,0.025227038
16.0,16.0,9.402385E-4
17.0,17.0,0.12638883
18.0,18.0,0.0052633956
19.0,19.0,0.006927731
20.0,20.0,0.7637256
21.0,21.0,0.094360135
22.0,22.0,0.67706835
23.0,23.0,0.0072945673
24.0,24.0,0.042881645
25.0,25.0,0.0012383349
26.0,26.0,0.043854855
27.0,27.0,0.25820217
28.0,28.0,0.3453767
29.0,29.0,0.010938502
30.0,30.0,0.0012996596
31.0,31.0,0.0053094244
32.0,32.0,0.26610792
33.0,33.0,0.0849314
34.0,34.0,0.017146578
35.0,35.0,0.5408723
36.0,36.0,0.35933357
37.0,37.0,0.025187079
38.0,38.0,0.017228225
39.0,39.0,0.0022877743
40.0,40.0,0.63551974
41.0,41.0,0.125261
42.0,42.0,0.61944956
43.0,43.0,0.0506929
44.0,44.0,0.06415965
45.0,45.0,0.026898462
46.0,46.0,0.0011785019
47.0,47.0,0.025048405
48.0,48.0,0.03445941
49.0,49.0,0.71026444
50.0,50.0,0.004711111
51.0,51.0,0.07696622
52.0,52.0,0.64860946
53.0,53.0,0.0024741907
54.0,54.0,0.7121643
55.0,55.0,0.39549103
56.0,56.0,0.06290328
57.0,57.0,0.08417888
58.0,58.0,0.058483895
59.0,59.0,0.0067014997
60.0,60.0,0.282548
61.0,61.0,0.023195734
62.0,62.0,0.008174896
63.0,63.0,0.13485949
64.0,64.0,0.59466255
65.0,65.0,0.0076929065
66.0,66.0,0.029828712
67.0,67.0,0.36051378
68.0,68.0,0.012525619
69.0,69.0,0.13107213
70.0,70.0,0.013122395
71.0,71.0,0.0015835135
72.0,72.0,0.14384066
73.0,73.0,0.0018781843
74.0,74.0,0.012343551
75.0,75.0,0.39539036
76.0,76.0,0.3381049
77.0,77.0,0.24561949
78.0,78.0,0.001732892
79.0,79.0,0.6766553
80.0,80.0,0.36940613
81.0,81.0,0.64337295
82.0,82.0,0.70728153
83.0,83.0,0.18063448
84.0,84.0,5.8314495E-4
85.0,85.0,0.031963877
86.0,86.0,0.0014916315
87.0,87.0,0.0017894957
88.0,88.0,0.0075973882
89.0,89.0,0.067402996
90.0,90.0,0.7356794
91.0,91.0,0.7376202
92.0,92.0,0.019576892
93.0,93.0,0.016207265
94.0,94.0,0.6916382
95.0,95.0,0.15274683
96.0,96.0,0.068805486
97.0,97.0,0.07779575
98.0,98.0,0.45116457
99.0,99.0,0.013807837
100.0,100.0,0.16577075
101.0,101.0,0.015411378
102.0,102.0,0.0016775265
103.0,103.0,0.001389682
104.0,104.0,0.0022518511
105.0,105.0,0.030649899
106.0,106.0,0.1704739
107.0,107.0,0.019498616
108.0,108.0,0.00647552
109.0,109.0,0.012746358
110.0,110.0,0.21418777
111.0,111.0,0.009272822
112.0,112.0,0.010219982
113.0,113.0,0.0064114747
114.0,114.0,8.226725E-4
115.0,115.0,0.67259973
116.0,116.0,0.06896983
117.0,117.0,0.68792117
118.0,118.0,0.21088678
119.0,119.0,0.087832205
120.0,120.0,0.03202791
121.0,121.0,0.54693264
122.0,122.0,0.046392392
123.0,123.0,0.004023127
124.0,124.0,0.57501155
125.0,125.0,0.005463333
126.0,126.0,0.0013738417
127.0,127.0,0.67950547
128.0,128.0,0.4164846
129.0,129.0,0.06909326
130.0,130.0,0.16736616
131.0,131.0,0.008633535
132.0,132.0,0.011032516
133.0,133.0,0.0019077666
134.0,134.0,0.6742345
135.0,135.0,0.030740727
136.0,136.0,0.03343857
137.0,137.0,0.27507147
138.0,138.0,0.009002787
139.0,139.0,0.005993023
140.0,140.0,0.0018636854
141.0,141.0,0.5552917
142.0,142.0,0.62712675
143.0,143.0,0.10138868
144.0,144.0,0.0011167019
145.0,145.0,9.2408276E-4
146.0,146.0,0.03172468
147.0,147.0,0.70290387
148.0,148.0,0.036239102
149.0,149.0,0.0014855086
150.0,150.0,0.12036148
151.0,151.0,0.26414537
152.0,152.0,0.3665344
153.0,153.0,0.023543807
154.0,154.0,0.037616715
155.0,155.0,0.57106036
156.0,156.0,0.01889914
157.0,157.0,0.0057054805
158.0,158.0,0.037987687
159.0,159.0,0.0018769575
160.0,160.0,0.09651586
161.0,161.0,0.0029965255
162.0,162.0,0.18271042
163.0,163.0,0.0020482282
164.0,164.0,0.63010424
165.0,165.0,0.11015449
166.0,166.0,0.04514574
167.0,167.0,0.031570885
168.0,168.0,0.112727486
169.0,169.0,0.11980053
170.0,170.0,0.036276914
171.0,171.0,0.008101707
172.0,172.0,0.44220778
173.0,173.0,0.002032735
174.0,174.0,0.30295318
175.0,175.0,0.0020514275
176.0,176.0,0.32244873
177.0,177.0,0.72484535
178.0,178.0,0.6513088
179.0,179.0,0.6092934
180.0,180.0,0.08260645
181.0,181.0,0.025474457
182.0,182.0,0.11142606
183.0,183.0,0.005033893
184.0,184.0,0.030948877
185.0,185.0,0.35190377
186.0,186.0,0.5450162
187.0,187.0,0.030064693
188.0,188.0,0.35398453
189.0,189.0,0.0036965779
190.0,190.0,0.056099333
191.0,191.0,0.012504543
192.0,192.0,0.05653655
193.0,193.0,6.1822165E-4
194.0,194.0,0.02391119
195.0,195.0,0.0071549616
196.0,196.0,0.0026303031
197.0,197.0,0.25111824
198.0,198.0,0.03301688
199.0,199.0,0.07018855
200.0,200.0,0.0049086236
201.0,201.0,0.09720485
202.0,202.0,0.35640767
203.0,203.0,0.6384539
204.0,204.0,0.0011872012
205.0,205.0,0.066879
206.0,206.0,8.789313E-4
207.0,207.0,0.06744652
208.0,208.0,0.5701831
209.0,209.0,0.010212604
210.0,210.0,0.40350005
211.0,211.0,0.45981878
212.0,212.0,0.0040965746
213.0,213.0,0.023118928
214.0,214.0,0.23527434
215.0,215.0,0.010458735
216.0,216.0,0.04657353
217.0,217.0,0.012852367
218.0,218.0,0.08600538
219.0,219.0,0.12291554
220.0,220.0,0.0014084011
221.0,221.0,0.7036475
222.0,222.0,0.038581032
223.0,223.0,0.002718699
224.0,224.0,0.03478022
225.0,225.0,0.004392784
226.0,226.0,0.017588675
227.0,227.0,0.008345656
228.0,228.0,0.16910675
229.0,229.0,0.37312979
230.0,230.0,0.5807463
231.0,231.0,0.48785114
232.0,232.0,0.21562244
233.0,233.0,0.117050536
234.0,234.0,0.2629612
235.0,235.0,0.0010696596
236.0,236.0,0.37108812
237.0,237.0,0.1472948
238.0,238.0,0.0025182941
239.0,239.0,0.031896126
240.0,240.0,0.012381561
241.0,241.0,0.63267493
242.0,242.0,0.073796205
243.0,243.0,0.012428561
244.0,244.0,0.4955681
245.0,245.0,0.007212334
246.0,246.0,0.07510875
247.0,247.0,0.0014485666
248.0,248.0,0.0016597876
249.0,249.0,0.0053927056
250.0,250.0,0.08506423
251.0,251.0,0.031129824
252.0,252.0,0.07525118
253.0,253.0,0.12537354
254.0,254.0,0.09073463
255.0,255.0,0.0049662
256.0,256.0,0.086602725
257.0,257.0,0.28072432
258.0,258.0,0.14161502
259.0,259.0,0.4697481
260.0,260.0,0.056920704
261.0,261.0,0.7199748
262.0,262.0,0.062699355
263.0,263.0,0.001148848
264.0,264.0,0.086817056
265.0,265.0,4.398372E-4
266.0,266.0,0.13075668
267.0,267.0,0.6186093
268.0,268.0,0.15368187
269.0,269.0,0.03978606
270.0,270.0,0.018473752
271.0,271.0,0.023046788
272.0,272.0,0.0010357063
273.0,273.0,0.047647394
274.0,274.0,0.18665761
275.0,275.0,0.6946068
276.0,276.0,0.002773987
277.0,277.0,0.0040307776
278.0,278.0,0.0020105736
279.0,279.0,0.1354529
