Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.74854E-8,0.000001749,0.000188326,1,0,0
2.02528E-8,0.000003774,0.00021813,0.999946775,0,0
2.50964E-8,0.000011208,0.00027029,0.999787098,0,0
2.74518E-8,0.000027027,0.000295654,0.999467745,0,0
3.26342E-8,0.000052232,0.000351459,0.999041942,0,0
3.976E-8,0.000103471,0.000428184,0.998296785,0,0
5.24569E-8,0.000253715,0.000564882,0.996540345,0,0
6.56136E-8,0.000500552,0.000706509,0.994304875,0,0
7.90479E-8,0.001007801,0.000851105,0.990632319,0,0
9.2507E-8,0.002509111,0.000995945,0.981477539,0,0
1.08682E-7,0.005010146,0.001169983,0.968277624,0,0
1.42621E-7,0.010013776,0.001535066,0.946880988,0,0
2.42478E-7,0.02500709,0.002608455,0.903555461,0.000143041,0
4.59193E-7,0.050002538,0.004933999,0.863689589,0.000143041,0
8.81529E-7,0.10002591,0.009450478,0.823238237,0.000715205,0
1.62284E-6,0.200121329,0.017328537,0.779753034,0.002145616,0
2.34354E-6,0.300139391,0.024927544,0.752714499,0.003432985,0
2.94325E-6,0.400275478,0.031206036,0.732648499,0.004148191,0
3.44186E-6,0.500094422,0.036395251,0.715935704,0.004291232,0
4.01967E-6,0.600150342,0.042374025,0.701564829,0.004577314,0
4.69602E-6,0.700042406,0.049325262,0.689376198,0.005721642,0
5.029E-6,0.750248417,0.052728958,0.683893975,0.006150765,0
5.40291E-6,0.800296251,0.056536528,0.67878433,0.006579888,0
6.03926E-6,0.900302172,0.0629813,0.669469874,0.006865971,0
6.62873E-6,1.000453177,0.068912086,0.661060251,0.007438135,0
7.14704E-6,1.100125325,0.074095869,0.653342559,0.008010299,0
7.61334E-6,1.200136611,0.078734771,0.646157122,0.008868545,0
8.03049E-6,1.300505818,0.08286504,0.639344262,0.009583751,0
8.38824E-6,1.400699583,0.086392459,0.632850756,0.010585038,0
8.74709E-6,1.500182852,0.089917076,0.626676602,0.011443284,0
9.70147E-6,1.750831978,0.099224864,0.612199276,0.014447146,0
1.06891E-5,2.00090473,0.108756773,0.599105812,0.017021885,0
1.19058E-5,2.250580707,0.120361292,0.587342985,0.01902446,0
1.31343E-5,2.501034668,0.131924024,0.576697892,0.020168788,0
1.46673E-5,2.751208595,0.146140812,0.567117309,0.022457445,0
1.63058E-5,3.00077287,0.161078591,0.558494784,0.024316979,0
1.8057E-5,3.251407334,0.176754623,0.550723866,0.025604348,0
1.98497E-5,3.50004522,0.192499475,0.543751331,0.026605636,0
2.20036E-5,3.75075501,0.211018842,0.537364275,0.027893005,0
