X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,6.038537292795227E-5,11.108783324793041,0.47818525119832045
2.0,2.0,train,9.683108918864582E-5,30.41799960191355,0.6476106610179146
3.0,3.0,train,2.908671117938037E-6,0.39450169743519453,0.030845103414912645
4.0,4.0,train,1.1407919026483198E-4,55.64681989674232,0.7073585135392163
5.0,5.0,train,1.2974617962924632E-4,86.50200699176351,0.7528016937429842
6.0,6.0,train,1.0999712940705478E-4,47.699844620149236,0.6942039762597187
7.0,7.0,train,1.0719201142166967E-4,43.136430278592435,0.68482321829644
8.0,8.0,train,1.2282369783442424E-4,72.05784533225903,0.73366455930246
9.0,9.0,train,5.513390799595793E-5,10.097723733381777,0.4478173214466892
10.0,10.0,train,1.2105250819080853E-4,68.78958869524394,0.7285345200385689
11.0,11.0,train,1.1567348772080411E-4,58.59183162333891,0.7123411449621173
12.0,12.0,train,1.0628350706288918E-4,41.930108858749996,0.681723764154341
13.0,13.0,train,1.3024161889358142E-4,87.34224111792976,0.7541173875917654
14.0,14.0,train,1.0196169410871417E-4,36.20728429538394,0.6665569139002755
15.0,15.0,train,1.125452529628025E-4,52.49467412044018,0.7024830761284586
16.0,16.0,train,1.1908228882644065E-4,65.33193794901118,0.7227118396181234
17.0,17.0,train,1.0982801049112868E-4,47.50187138407857,0.6936464094641999
18.0,18.0,train,8.701363755563955E-5,21.479689344275258,0.6083041754118836
19.0,19.0,train,1.0120061730704498E-4,35.3506111824882,0.6638121257280722
20.0,20.0,train,1.1377792879407429E-4,54.95716185435546,0.7064073360108964
21.0,21.0,train,1.3618329091248362E-4,93.76087269751423,0.7693610825994521
22.0,22.0,train,8.253210308926712E-5,18.451436315233455,0.588932042345597
23.0,23.0,train,1.1481656107329211E-4,56.91107836817053,0.7096736442313255
24.0,24.0,train,1.3160438200174738E-4,89.02297569017544,0.7577003464816723
25.0,25.0,train,7.743213675904311E-5,16.092152256741326,0.5657184875067156
26.0,26.0,train,8.647920240975799E-5,21.039351738390884,0.6060428042358745
27.0,27.0,train,5.731637661690574E-5,10.505078354439538,0.4606469248076338
28.0,28.0,train,8.218550421693668E-5,18.190008906516375,0.5873944933206396
29.0,29.0,train,1.2039966496071251E-4,67.51422560570191,0.7266188148804449
30.0,30.0,train,1.0504498340607582E-4,40.10231838220875,0.6774492583810958
31.0,31.0,train,7.020589825474463E-5,13.28941663964279,0.5305646501007246
32.0,32.0,train,1.1298536743432367E-4,53.38591625335204,0.7038901780360378
33.0,33.0,train,9.598771107284113E-5,29.56096732753849,0.644394805699279
34.0,34.0,train,1.0006481810480675E-4,33.98150690896302,0.6596738425316879
35.0,35.0,train,1.1666638411462083E-4,60.43220323167942,0.7154012660442144
36.0,36.0,train,1.1396075670558949E-4,55.27417449197973,0.7069849495764504
37.0,37.0,train,1.2199747663305298E-4,70.53748973857361,0.7312836847198136
38.0,38.0,train,1.1231945403134947E-4,52.00552631719009,0.7017585750072992
39.0,39.0,train,8.22992741666673E-5,18.25312262799459,0.5878998217785378
40.0,40.0,train,1.2750937079963494E-4,82.0530187065032,0.7467734052500906
41.0,41.0,train,1.823615230398486E-5,3.276254798793231,0.1783421379709299
42.0,42.0,train,9.045388893197731E-5,24.046507832568718,0.6225535055016658
43.0,43.0,train,7.047542956029373E-5,13.380430985684109,0.5319255681501067
44.0,44.0,train,1.2070899457413844E-4,68.06444552557092,0.7275281920555371
45.0,45.0,train,1.281697001542705E-4,83.49610710632514,0.748568153635575
46.0,46.0,train,1.2211380469624866E-4,70.69956247737714,0.7316201836759642
47.0,47.0,train,1.1052771280790417E-4,48.60133528470528,0.6959466749217533
48.0,48.0,train,8.746434891311913E-5,21.82884673800184,0.6102011910258173
