x,y,species cloglog values
1.0,1.0,0.0130664315
2.0,2.0,0.29410404
3.0,3.0,0.005138202
4.0,4.0,0.031804297
5.0,5.0,0.1456169
6.0,6.0,0.0072373077
7.0,7.0,0.051797602
8.0,8.0,0.45556912
9.0,9.0,0.41116965
10.0,10.0,0.2512977
11.0,11.0,0.26708797
12.0,12.0,0.078481324
13.0,13.0,0.005443869
14.0,14.0,0.20983522
15.0,15.0,0.049296536
16.0,16.0,0.5288117
17.0,17.0,0.77311194
18.0,18.0,0.04285843
19.0,19.0,0.77587694
20.0,20.0,0.030077089
21.0,21.0,0.023503171
22.0,22.0,0.0063479817
23.0,23.0,0.026354033
24.0,24.0,0.40465835
25.0,25.0,0.020766951
26.0,26.0,0.6793423
27.0,27.0,0.53233397
28.0,28.0,0.69939613
29.0,29.0,0.0068026558
30.0,30.0,0.010655068
31.0,31.0,0.3041511
32.0,32.0,0.35059705
33.0,33.0,0.50485456
34.0,34.0,0.12160577
35.0,35.0,0.016487788
36.0,36.0,0.0019889034
37.0,37.0,0.011130637
38.0,38.0,0.24455267
39.0,39.0,0.62693846
40.0,40.0,0.059612315
41.0,41.0,0.026710205
42.0,42.0,0.011660971
43.0,43.0,0.011409339
44.0,44.0,0.73064506
45.0,45.0,0.4411479
46.0,46.0,0.009321291
47.0,47.0,0.015811792
48.0,48.0,0.6367089
49.0,49.0,0.3825038
50.0,50.0,0.17766196
51.0,51.0,0.45273793
52.0,52.0,0.005682389
53.0,53.0,0.010186284
54.0,54.0,0.010524909
55.0,55.0,0.07447207
56.0,56.0,0.14980963
57.0,57.0,0.12416992
58.0,58.0,0.3410912
59.0,59.0,0.19680977
60.0,60.0,0.59323233
61.0,61.0,0.029081283
62.0,62.0,0.30537805
63.0,63.0,0.2028227
64.0,64.0,0.5958629
65.0,65.0,0.014475862
66.0,66.0,0.023914326
67.0,67.0,0.38493812
68.0,68.0,0.03323597
69.0,69.0,0.45397043
70.0,70.0,0.6002398
71.0,71.0,0.096690364
72.0,72.0,0.47041413
73.0,73.0,0.24378861
74.0,74.0,0.5543286
75.0,75.0,0.03453579
76.0,76.0,0.0021295422
77.0,77.0,0.0031522743
78.0,78.0,0.00576358
79.0,79.0,0.42711872
80.0,80.0,0.042600907
81.0,81.0,0.40306452
82.0,82.0,0.2928885
83.0,83.0,0.42227665
84.0,84.0,0.54697543
85.0,85.0,0.24904262
86.0,86.0,0.5817378
87.0,87.0,0.011286229
88.0,88.0,0.01915829
89.0,89.0,0.74409
90.0,90.0,0.040561456
91.0,91.0,0.6461812
92.0,92.0,0.051659867
93.0,93.0,0.18057172
94.0,94.0,0.007764509
95.0,95.0,0.003658942
96.0,96.0,0.69160646
97.0,97.0,0.38159272
98.0,98.0,0.39357182
99.0,99.0,0.3748817
100.0,100.0,0.23126316
101.0,101.0,0.026204765
102.0,102.0,0.519652
103.0,103.0,0.002251605
104.0,104.0,0.017537542
105.0,105.0,0.0048429742
106.0,106.0,0.56245273
107.0,107.0,0.12280185
108.0,108.0,0.02278666
109.0,109.0,0.5125056
110.0,110.0,0.0040730387
111.0,111.0,0.011138814
112.0,112.0,0.25033498
113.0,113.0,0.009350149
114.0,114.0,0.4162357
115.0,115.0,0.06364153
116.0,116.0,0.37053087
117.0,117.0,0.2783667
118.0,118.0,0.0013657307
119.0,119.0,0.003755296
120.0,120.0,0.53205925
121.0,121.0,0.15708953
122.0,122.0,0.053362705
123.0,123.0,0.7107889
124.0,124.0,0.022640549
125.0,125.0,0.7062425
126.0,126.0,0.022148503
127.0,127.0,0.02756183
128.0,128.0,0.010611951
129.0,129.0,0.052663025
130.0,130.0,0.5197611
131.0,131.0,0.5394349
132.0,132.0,0.25357795
133.0,133.0,0.14769417
134.0,134.0,0.69320804
135.0,135.0,0.6604166
136.0,136.0,0.21630038
137.0,137.0,0.011869116
138.0,138.0,0.0057785963
139.0,139.0,0.38939387
140.0,140.0,0.25651422
141.0,141.0,0.20388699
142.0,142.0,0.08741167
143.0,143.0,0.14271747
144.0,144.0,0.4461868
145.0,145.0,0.34519967
146.0,146.0,0.028134163
147.0,147.0,0.004486242
148.0,148.0,0.04759256
149.0,149.0,0.385927
150.0,150.0,0.4141353
151.0,151.0,0.05844289
152.0,152.0,0.18465851
153.0,153.0,0.2926674
154.0,154.0,0.028848462
155.0,155.0,0.16518997
156.0,156.0,0.008553708
157.0,157.0,0.096226275
158.0,158.0,0.62214434
159.0,159.0,0.028318234
160.0,160.0,0.0037895513
161.0,161.0,0.013752908
162.0,162.0,0.0067639844
