Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.47735E-8,0.000002477,0.000483928,1,0,0
2.69138E-8,0.000005169,0.000525724,0.999967779,0,0
2.87791E-8,0.00001079,0.000562151,0.999903338,0,0
3.32404E-8,0.000027115,0.000649267,0.999742235,0,0
3.76462E-8,0.000052195,0.000735291,0.99951669,0,0
4.56856E-8,0.000101435,0.000892243,0.999130043,0,0
6.08354E-8,0.000251236,0.001187944,0.998227864,0,0
7.80006E-8,0.000503871,0.001522877,0.997067921,0,0
9.52065E-8,0.001008577,0.001858491,0.995231344,0,0
1.1676E-7,0.002507,0.002278757,0.990752674,0,0
1.47747E-7,0.005009562,0.002882644,0.984662972,0,0
1.79608E-7,0.010007523,0.003503166,0.974803454,0,0
2.68499E-7,0.025010182,0.005232406,0.953151179,0.000254691,0
3.88362E-7,0.050033122,0.007559398,0.92876015,0.000424484,0
5.32403E-7,0.1000037,0.010348585,0.89392963,0.001103659,0
7.8183E-7,0.20005325,0.015159927,0.843923186,0.001443246,0
1.08892E-6,0.300068563,0.021051444,0.808963784,0.001867731,0
1.47096E-6,0.400012117,0.028331745,0.78338059,0.002122421,0
2.01063E-6,0.500186777,0.038523653,0.764499291,0.002377112,0
2.45056E-6,0.60000184,0.04675271,0.750096662,0.002631802,0
2.89178E-6,0.700020458,0.054935315,0.738078361,0.00297139,0
3.14356E-6,0.750248706,0.059573133,0.732697513,0.00322608,0
3.42563E-6,0.80027608,0.064741779,0.727799974,0.003565668,0
3.95821E-6,0.900223249,0.074423592,0.719035958,0.003820358,0
4.53682E-6,1.000111948,0.084828568,0.711431886,0.004329739,0
5.14795E-6,1.100035632,0.095691554,0.704762212,0.004924017,0
5.75842E-6,1.200314684,0.106413862,0.698833613,0.005433398,0
6.29793E-6,1.30042731,0.115784006,0.693484985,0.005857883,0
6.75065E-6,1.400292167,0.123570945,0.688555226,0.006537057,0
7.21816E-6,1.500210085,0.13154035,0.683947674,0.006961542,0
8.2736E-6,1.750288692,0.149266286,0.673572625,0.008914169,0
9.10159E-6,2.000170665,0.162918602,0.6643253,0.010866797,0
9.87305E-6,2.250618033,0.175441632,0.655819049,0.012649631,0
1.05842E-5,2.500481921,0.186819951,0.647957211,0.014347568,0
1.12433E-5,2.750592533,0.197224235,0.640578683,0.015960608,0
1.19358E-5,3.000845129,0.208013724,0.633619023,0.017658545,0
1.25348E-5,3.250456554,0.217228617,0.627046011,0.020120554,0
1.31388E-5,3.501075801,0.22641246,0.620762985,0.022412768,0
1.38159E-5,3.750244768,0.236579294,0.614802165,0.024365396,0
1.4341E-5,4.000876267,0.244372038,0.60906689,0.02750658,0
1.48068E-5,4.250003058,0.25121758,0.603557159,0.030477969,0
1.52173E-5,4.500778744,0.257199876,0.598176311,0.032685287,0
1.5705E-5,4.751316661,0.264243265,0.592956567,0.035656677,0
1.61198E-5,5.001386133,0.270182556,0.587897925,0.037439511,0
1.65608E-5,5.251210701,0.276444219,0.582968166,0.040410901,0
1.6998E-5,5.501023993,0.282599112,0.57816729,0.042533322,0
1.74519E-5,5.750928152,0.288932684,0.573495296,0.044316156,0
1.79188E-5,6.000297082,0.295390041,0.568952185,0.046014093,0
1.83817E-5,6.250486004,0.301735255,0.564505735,0.048900586,0
1.87865E-5,6.501444929,0.307236178,0.560155948,0.05093811,0
1.92883E-5,6.750883585,0.313995302,0.555935043,0.054928262,0
1.97688E-5,7.001019506,0.320405248,0.5518108,0.058154342,0
2.01947E-5,7.250720505,0.326037182,0.547783219,0.059427795,0
2.07283E-5,7.500072643,0.33302683,0.543852301,0.061295526,0
2.12612E-5,7.750182338,0.339936301,0.540018044,0.063417947,0
2.17365E-5,8.001760161,0.346037577,0.536248228,0.065795059,0
2.22413E-5,8.250334202,0.352455162,0.532607295,0.069106036,0
2.27738E-5,8.500252084,0.359158191,0.529030803,0.071483148,0
2.32484E-5,8.751046392,0.365072765,0.525518752,0.073945157,0
2.36883E-5,9.000003959,0.370506966,0.522103364,0.075982681,0
2.4175E-5,9.251091565,0.376465165,0.518720196,0.078614483,0
2.45686E-5,9.502022827,0.381241238,0.515401469,0.081161389,0
2.49507E-5,9.75212578,0.385843605,0.512147184,0.08302912,0
2.53541E-5,10.001292571,0.390665448,0.50895734,0.085915613,0
2.57517E-5,10.251748833,0.395380716,0.505799716,0.088207827,0
2.6188E-5,10.501335139,0.400513706,0.502706534,0.090330249,0
2.66178E-5,10.752159418,0.405526626,0.499645573,0.092537567,0
2.70464E-5,11.001556126,0.410484715,0.496649053,0.094490194,0
2.74468E-5,11.252264754,0.415078062,0.493684753,0.096527719,0
2.78455E-5,11.500809824,0.419617694,0.490784895,0.098480346,0
2.82225E-5,11.750371188,0.423876095,0.487917257,0.100602768,0
2.85373E-5,12.000188157,0.427408884,0.48508184,0.103149673,0
2.88893E-5,12.252797461,0.431333632,0.482246424,0.105102301,0
2.92821E-5,12.500156245,0.435681458,0.479507669,0.107564309,0
2.96695E-5,12.750405855,0.439937467,0.476768914,0.109516937,0
3.00359E-5,13.001204255,0.443932469,0.474062379,0.112148739,0
3.04646E-5,13.252283814,0.448571099,0.471388065,0.114356057,0
3.07836E-5,13.500341207,0.451996375,0.468778193,0.116648272,0
3.11136E-5,13.751103574,0.455519341,0.466168321,0.119025384,0
3.14539E-5,14.001442031,0.459126662,0.463590669,0.121147805,0
3.17458E-5,14.251271976,0.462203482,0.461045238,0.123524917,0
3.21431E-5,14.500404467,0.466361867,0.458532027,0.126241616,0
3.24549E-5,14.752422756,0.469602996,0.456018817,0.128873419,0
3.27821E-5,15.000446729,0.472983238,0.453570048,0.131590118,0
3.30892E-5,15.250906107,0.476136132,0.451121279,0.13396723,0
3.3433E-5,15.500510868,0.479642897,0.44870473,0.136853723,0
3.37611E-5,15.752483653,0.482967914,0.446288181,0.139145938,0
3.39992E-5,16.003277312,0.485368406,0.443903854,0.141523049,0
3.43557E-5,16.252856578,0.488940027,0.441551746,0.144664233,0
3.47603E-5,16.501629424,0.492964825,0.43923186,0.147296035,0
3.50573E-5,16.752932967,0.49589797,0.436911973,0.150182528,0
3.52804E-5,17.002662928,0.498090609,0.434624307,0.152389846,0
3.56573E-5,17.250919257,0.50177336,0.432368862,0.154936752,0
3.59589E-5,17.50172379,0.504700846,0.430113417,0.157823245,0
3.62464E-5,17.750926293,0.507475436,0.427890192,0.159860769,0
3.65693E-5,18.002148414,0.510572884,0.425666967,0.161558706,0
3.68642E-5,18.251936452,0.513384497,0.423475963,0.163681127,0
3.71499E-5,18.5036283,0.5160933,0.421284959,0.165803549,0
3.74329E-5,18.753476182,0.518762059,0.419126176,0.168774938,0
3.76809E-5,19.001398809,0.521088241,0.416999613,0.171406741,0
3.80582E-5,19.251432395,0.524605888,0.414873051,0.173783853,0
3.83755E-5,19.503681081,0.527543973,0.412746488,0.176585449,0
3.86461E-5,19.750160167,0.530035437,0.410684367,0.17870787,0
3.89577E-5,20.002428516,0.532887942,0.408590024,0.181254775,0
3.92366E-5,20.252702978,0.535426602,0.406527903,0.183631887,0
3.95517E-5,20.500828738,0.53827829,0.404498002,0.185839205,0
3.98538E-5,20.751057634,0.540995524,0.402468102,0.188301214,0
4.01022E-5,21.002857541,0.543217553,0.400438201,0.190423635,0
4.03748E-5,21.252522062,0.545644462,0.398440521,0.192630953,0
4.06646E-5,21.503754009,0.548209943,0.396442841,0.195177859,0
4.09968E-5,21.752931131,0.551132501,0.394477381,0.198064352,0
4.12362E-5,22.003768041,0.553227065,0.392511922,0.200781051,0
4.14706E-5,22.251909117,0.555268617,0.390578683,0.20324306,0
4.16908E-5,22.50143535,0.557178464,0.388645444,0.205620171,0
4.18876E-5,22.752152119,0.558877973,0.386712205,0.208167077,0
4.21819E-5,23.000110698,0.561407274,0.384811187,0.210204601,0
4.23849E-5,23.253845186,0.563142789,0.382877948,0.212242126,0
4.2601E-5,23.500360716,0.564984037,0.381009151,0.214873928,0
4.28397E-5,23.752480951,0.56700776,0.379108132,0.217335937,0
4.30467E-5,24.00162586,0.568755871,0.377239335,0.220901605,0
4.32725E-5,24.251972182,0.570654209,0.375370537,0.223278716,0
4.35025E-5,24.503578888,0.572579421,0.37350174,0.225740725,0
4.36904E-5,24.752043841,0.574145581,0.371665163,0.228627218,0
4.39582E-5,25.001918528,0.5763683,0.369828586,0.231598608,0
4.4148E-5,25.25299808,0.577936331,0.367992009,0.234400204,0
4.43483E-5,25.500752141,0.579584572,0.366187653,0.2372018,0
4.45343E-5,25.754088626,0.581109836,0.364351076,0.240003396,0
4.47331E-5,26.003979931,0.582733638,0.36254672,0.242720095,0
4.4981E-5,26.250810687,0.584750252,0.360774584,0.245606588,0
4.51919E-5,26.50334006,0.586457494,0.358970228,0.248408184,0
4.53805E-5,26.752441886,0.587978427,0.357198093,0.250785296,0
4.5567E-5,27.002532124,0.589476886,0.355425957,0.253586892,0
4.57914E-5,27.253692882,0.591273605,0.353653821,0.255624416,0
4.60223E-5,27.501592634,0.593113353,0.351913906,0.258001528,0
