X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,9.809604279091476E-5,98.90774682344926,0.8529051846944771
2.0,2.0,train,2.602832369527197E-5,10.409991982793722,0.39864024469163417
3.0,3.0,train,7.424284938926934E-5,74.59507056913871,0.7655740176581001
4.0,4.0,train,2.0091592596415492E-5,7.190269644048255,0.32467781558266495
5.0,5.0,train,5.488595731588447E-5,39.62681189192977,0.6578154775650125
6.0,6.0,train,3.1512161005328176E-5,14.051306175422004,0.45974253716908386
7.0,7.0,train,4.552358825685062E-5,26.94431843404706,0.5891289221957827
8.0,8.0,train,9.429931078505367E-5,98.25953594471291,0.8415782267828954
9.0,9.0,train,5.357708759825606E-5,37.70720115065948,0.6489516861446938
10.0,10.0,train,7.108049972616598E-5,68.33476945304089,0.7506323331583551
11.0,11.0,train,4.851698418990471E-5,30.42013256253203,0.612470430621485
12.0,12.0,train,1.5982406891551994E-5,4.918556282262218,0.2682211137443463
13.0,13.0,train,5.36149222407998E-5,37.76272281439558,0.6492111002929415
14.0,14.0,train,4.642887015710813E-5,27.989757582591636,0.5963325587322759
15.0,15.0,train,5.903316175093929E-5,45.91067696728196,0.684449485736794
16.0,16.0,train,6.318813718644544E-5,53.237343363719944,0.7090546092979552
17.0,17.0,train,5.553965922930962E-5,40.59095860191353,0.6621582512146527
18.0,18.0,train,7.928670133312402E-5,84.43296566487244,0.787574967472115
19.0,19.0,train,6.668401128611644E-5,60.00497174898749,0.7282641535236858
20.0,20.0,train,5.519760420782301E-5,40.09183942836036,0.6598927775874563
21.0,21.0,train,3.453601283322685E-5,16.363723945009802,0.4907375993497346
22.0,22.0,train,8.036592850169256E-5,86.50256622238864,0.7920074324962489
23.0,23.0,train,7.998138943821901E-5,85.82944984443698,0.7904388098938815
24.0,24.0,train,5.5658043785646775E-5,40.73523911648822,0.6629388067889019
25.0,25.0,train,7.07739013026478E-5,67.73611320886255,0.7491339972442401
26.0,26.0,train,3.321631081239101E-5,15.343190760715455,0.4774353098017101
27.0,27.0,train,7.598226189327003E-5,78.12577999485936,0.7734073564615511
28.0,28.0,train,7.176854500644368E-5,69.64918423658968,0.7539622918383395
29.0,29.0,train,6.176600436878625E-5,50.66284411061928,0.7008568139022696
30.0,30.0,train,6.887672551222778E-5,63.89920302880858,0.7396602624853598
31.0,31.0,train,4.630920814379212E-5,27.829257647628033,0.5953876595476597
32.0,32.0,train,4.540256823864598E-5,26.78203465305209,0.588156233214713
33.0,33.0,train,7.550682546356727E-5,77.25316203181883,0.7712926278112673
34.0,34.0,train,7.2395022250809E-5,70.86486353673676,0.7569555854412898
35.0,35.0,train,6.790585733607626E-5,62.179204004419354,0.734674586158873
36.0,36.0,train,7.416369085214281E-5,74.43436229490867,0.7652111593697828
37.0,37.0,train,6.764710507430281E-5,61.76222969190931,0.7333297822997075
38.0,38.0,train,5.473942266588843E-5,39.427448488817355,0.6568343619123906
39.0,39.0,train,7.538670051194901E-5,77.01427919754548,0.7707551991776291
40.0,40.0,train,8.262496407575311E-5,90.29783281668954,0.8009883180815789
41.0,41.0,train,5.250117719479922E-5,36.24508789470438,0.641493838479539
42.0,42.0,train,6.27199166928336E-5,52.3971989937871,0.7063806941346062
43.0,43.0,train,1.2404392128071113E-5,3.1961138248791534,0.21523173022266784
44.0,44.0,train,5.49909582827872E-5,39.777143009777184,0.6585167808697261
45.0,45.0,train,3.856101779486452E-5,19.672662073294685,0.5292535236688714
46.0,46.0,train,6.538552034535612E-5,57.39815305445426,0.7212817590460818
47.0,47.0,train,3.795821281370748E-5,19.185171714526184,0.5236762539889495
48.0,48.0,train,5.0226390723554805E-5,33.005484394967205,0.625200048824255
49.0,49.0,train,6.260201365063854E-5,52.20851951835427,0.7057035087134891
50.0,50.0,train,5.494925765128137E-5,39.7151924052649,0.6582384338442964
51.0,51.0,train,1.5440830670394463E-5,4.615609395109785,0.26043650245506256
52.0,52.0,train,9.258294701474878E-6,2.051043399863258,0.16547774552663552
53.0,53.0,train,5.863894571255598E-5,45.252924915629926,0.6820095719598298
54.0,54.0,train,5.679396066795165E-5,42.26934609603289,0.6703372851328591
55.0,55.0,train,5.6128682326001474E-5,41.42076241030884,0.6660241152963431
56.0,56.0,train,2.547418268630299E-5,10.076935077897298,0.3920937996561611
57.0,57.0,train,6.691777414755118E-5,60.43757559217177,0.7295024614819129
58.0,58.0,train,3.746044652893345E-5,18.781014116749645,0.5190210470861959
59.0,59.0,train,5.285039792734614E-5,36.7218235308684,0.6439317248569639
60.0,60.0,train,5.312219777706475E-5,37.04518218918185,0.645817663065199
61.0,61.0,train,6.039531175688514E-5,48.19081421810521,0.6927370130235598
62.0,62.0,train,6.92178069457171E-5,64.57040072298224,0.741389480909812
63.0,63.0,train,6.849187586168371E-5,63.1807714815509,0.7376952601681829
64.0,64.0,train,8.517028234961072E-5,94.20472519191665,0.8106435743650564
65.0,65.0,train,7.580216906617166E-5,77.79760647009458,0.7726086187506609
66.0,66.0,train,2.5497462319430633E-5,10.09159938849559,0.39237024646721463
67.0,67.0,train,2.342724699686068E-6,0.575535249191328,0.04474217773575773
68.0,68.0,train,4.1910119081920225E-5,22.771125274125122,0.5590716906742714
69.0,69.0,train,1.1754774363190884E-5,2.9354268827125853,0.20520738339103894
70.0,70.0,train,4.4685834065790755E-5,25.94456672183706,0.5823481509383511
71.0,71.0,train,6.72045799577727E-5,60.936631578412076,0.7310140466417079
72.0,72.0,train,4.9549547359921923E-5,32.07413856092125,0.6202105121493542
73.0,73.0,train,6.269048909035949E-5,52.34744897082755,0.706211820443399
74.0,74.0,train,5.1422397250118065E-5,34.68931275905183,0.6338570244373417
